TITLE,LOCATION,FACING,FLOOR,BEDROOM,BATHROOM,BUILT YEAR,PARKING,AMENITIES,PRICE_NPR,RATE_VALUE,RATE_UNIT,RATE_DENOMINATOR,LAND_AREA_AANA,BUILDUP_AREA_SQFT,ROAD_ACCESS_FEET
Beautiful house on sale at Golfutar Basketball Court,"Golfutar, Kathmandu",South,2.5,4.0,3.0,2069 B.S,,"['Drinking Water', 'Bathroom', 'Parking', 'Drainage']",29500000.0,,,,4.0,,16.0
"Attarctive house on sale at Dhapasi, Tokha","Dhapasi, Kathmandu",East,2.5,6.0,6.0,2074 B.S,,"['Drinking Water', 'Bathroom', 'Parking', 'Drainage', 'Garden']",25000000.0,,,,4.0,,15.0
"3 BHK house on sale at Nayabasti, Lalitpur","Imadol, Lalitpur",East,2.5,3.0,3.0,2076 B.S,,"['Drinking Water', 'Bathroom', 'Parking', 'Drainage']",26000000.0,,,,3.0,,13.0
"Residential house on sale at Nayabasti, Lalitpur","Imadol, Lalitpur",West,2.5,6.0,4.0,2074 B.S,,"['Drinking Water', 'Bathroom', 'Parking', 'Drainage']",32500000.0,,,,3.3,,23.0
"5 BHK house on sale at Imadol, Lalitpur","Imadol, Lalitpur",East,2.5,5.0,3.0,2069 B.S,,"['Drinking Water', 'Bathroom', 'Parking', 'Drainage']",22500000.0,,,,3.5,,12.0
Beautiful house on sale at Kamalpokhari,"Imadol, Lalitpur",South,2.5,6.0,3.0,2069 B.S,,"['Bathroom', 'Drinking Water', 'Drainage', 'Parking']",40000000.0,,,,4.2,,13.0
Residential house on sale at Kamalpokhari,"Imadol, Lalitpur",West,2.5,4.0,4.0,2069 B.S,,"['Drinking Water', 'Parking', 'Drainage', 'Bathroom']",31500000.0,,,,3.1,,13.0
Under construction house on sale at Kamalpokhari,"Imadol, Lalitpur",West,2.5,5.0,4.0,2076 B.S,,"['Drinking Water', 'Bathroom', 'Parking', 'Drainage']",33000000.0,,,,3.2,,13.0
"Residential house on sale at Panitanki, Tikathali ","Tikathali, Lalitpur",North-West,2.5,7.0,4.0,2076 B.S,,"['Drinking Water', 'Parking', 'Drainage', 'Bathroom']",27000000.0,,,,4.1,,13.0
"Attractive house on sale at Setipakha, Hattiban","Setipakha, Lalitpur",East,2.5,4.0,4.0,2072 B.S,,"['Drinking Water', 'Bathroom', 'Parking', 'Drainage']",22500000.0,,,,2.3,,13.0
"Beautiful house on sale at Ochu Hight, Imadol","Ochu Height, Lalitpur",South,2.5,6.0,4.0,2079 B.S,,"['Drinking Water', 'Bathroom', 'Parking', 'Drainage']",33000000.0,,,,3.3,,16.0
"Beautiful house on sale at Raniban, Nagrajun (Kathmandu Metropolitan -16)","Raniban, Kathmandu",East,2.5,6.0,5.0,2058 B.S,,"['Drinking Water', 'Bathroom', 'Parking', 'Drainage']",36000000.0,,,,3.0,10764.0,20.0
"Brand new house for sale in Ochu Height, Imadol","Ochu Height, Lalitpur",West,2.5,6.0,5.0,2072 B.S,,"['Earthquake Resistant', 'Marbel', 'Parquet', 'Bathroom', 'Parking']",37500000.0,,,,4.0,,16.0
